employee_id,age,gender,marital_status,department,job_role,job_level,monthly_income,hourly_rate,years_at_company,years_in_current_role,years_since_last_promotion,work_life_balance,job_satisfaction,performance_rating,training_hours_last_year,overtime,project_count,average_hours_worked_per_week,absenteeism,work_environment_satisfaction,relationship_with_manager,job_involvement,distance_from_home,number_of_companies_worked,attrition
1,58,1,2,0,3,5,7332,81,24,12,3,1,3,2,74,0,9,48,16,4,1,1,49,3,0
2,48,0,0,1,1,4,6069,55,18,7,5,1,2,2,24,1,9,57,10,4,1,1,25,1,0
3,34,0,1,3,3,4,11485,65,6,4,3,4,5,1,63,1,3,55,1,1,4,3,21,1,1
4,27,0,0,1,3,4,18707,28,12,9,1,1,1,2,4,0,9,53,2,3,4,1,46,2,0
5,40,1,1,1,0,1,16398,92,3,9,1,3,4,3,62,0,1,54,11,1,1,1,43,4,0
6,58,1,1,0,2,3,7305,63,25,2,3,4,5,3,84,0,1,42,11,2,3,4,4,3,1
7,38,1,1,4,2,5,15697,63,3,3,4,4,3,4,98,0,1,58,16,3,3,4,33,1,1
8,42,0,1,3,2,1,14506,41,16,8,0,2,4,3,75,1,3,45,9,2,1,4,3,2,0
9,30,0,1,2,0,4,18105,95,17,10,2,2,3,3,51,1,8,42,4,3,3,1,39,4,0
10,30,1,0,4,1,4,15745,53,16,14,4,1,4,3,45,1,6,41,12,4,2,1,1,4,0
11,43,1,0,2,3,3,5601,87,13,3,7,1,4,3,76,1,7,58,9,1,4,3,34,4,0
12,55,0,2,0,0,4,13023,50,25,4,3,2,1,3,66,1,6,43,7,3,1,4,10,2,1
13,59,0,1,3,1,5,17216,24,13,11,5,3,1,2,75,1,1,38,7,1,2,3,47,1,0
14,43,0,2,0,0,2,19911,18,24,3,3,2,3,4,46,0,5,56,7,4,2,3,7,1,0
15,22,0,0,2,0,4,4411,99,12,12,4,2,2,2,33,0,7,36,13,4,1,1,22,3,1
16,41,1,2,1,1,3,19773,16,29,13,6,4,4,4,19,1,8,49,7,1,4,1,5,3,0
17,21,0,0,0,2,2,12417,93,2,14,7,2,1,4,38,1,5,41,5,1,4,3,16,2,0
18,43,0,1,3,3,5,6792,42,26,2,9,4,2,4,51,0,8,54,5,4,2,4,41,4,0
19,49,1,2,0,2,5,12569,40,14,1,9,4,3,2,49,0,5,31,8,3,4,3,29,1,0
20,57,1,2,4,0,5,3234,87,10,3,7,1,5,2,67,1,1,51,2,3,2,3,5,3,0
21,21,0,2,0,1,3,19497,44,19,9,6,4,1,2,40,0,5,55,19,1,3,2,30,3,0
22,40,1,2,2,0,2,18317,23,23,14,3,2,4,3,42,0,1,40,18,1,3,2,34,1,0
23,52,0,1,0,2,5,6138,15,22,8,3,2,1,1,48,0,4,46,7,4,1,4,27,1,1
24,31,0,0,3,2,4,8159,70,24,9,1,2,4,4,70,0,8,32,6,2,3,1,10,1,0
25,41,1,0,0,2,2,19794,70,26,10,8,2,1,1,46,0,6,52,12,2,4,4,48,4,0
26,44,1,1,0,3,5,8684,90,29,5,5,4,3,4,56,0,2,37,10,2,4,1,10,1,0
27,46,0,0,3,2,2,12252,75,5,5,2,4,3,2,66,1,3,36,14,4,1,2,23,1,0
28,47,1,2,0,3,4,3066,59,16,14,2,3,3,4,45,1,1,45,18,4,2,1,6,3,0
29,35,0,1,3,3,1,9546,27,5,8,0,3,3,1,40,0,6,55,2,4,3,4,27,2,0
30,34,0,0,2,2,5,16985,28,2,14,1,1,3,1,76,0,6,42,9,2,2,3,14,3,0
31,22,0,1,3,1,4,11187,24,6,13,4,2,4,4,28,1,3,57,12,1,4,2,48,2,1
32,56,1,1,2,0,3,15169,31,28,5,8,1,4,4,40,0,1,34,4,1,3,4,23,3,1
33,26,0,0,2,0,5,16363,31,12,4,2,4,5,3,84,0,2,55,13,4,2,3,34,2,1
34,40,0,0,3,3,1,13665,45,27,9,6,4,3,3,45,0,1,56,4,1,4,1,17,3,0
35,28,0,1,0,3,4,7304,60,13,1,5,2,2,1,24,0,3,31,5,1,4,2,34,1,0
36,58,1,1,4,3,4,5010,63,13,6,2,1,4,3,2,0,3,50,11,4,2,2,31,1,0
37,37,0,0,3,0,2,19000,89,27,7,3,4,4,3,29,1,1,36,0,3,3,3,22,1,0
38,23,0,1,0,3,5,18537,94,21,14,4,4,5,1,85,1,8,35,7,4,1,4,5,1,1
39,44,0,0,2,1,1,4888,32,25,6,1,4,4,4,1,0,7,46,1,4,2,4,9,3,0
40,33,1,1,1,1,3,19752,89,14,12,7,2,1,3,8,0,6,54,7,1,4,2,18,4,0
41,28,0,1,4,3,2,4762,25,19,10,6,3,4,2,57,0,7,51,10,4,3,4,21,2,1
42,45,0,1,0,0,5,19760,87,15,8,8,3,1,2,3,0,2,32,3,1,4,2,45,1,0
43,21,1,0,4,2,1,3002,69,21,11,7,4,5,4,71,0,8,32,16,3,1,2,6,2,0
44,39,1,2,1,0,2,3763,17,3,8,6,2,1,1,18,0,7,45,12,2,1,2,44,1,0
45,47,0,0,1,2,1,18754,92,9,5,8,1,2,1,84,1,1,51,8,2,4,3,29,1,0
46,26,0,1,1,2,1,5482,30,25,13,9,4,4,2,13,1,8,45,8,1,2,3,19,3,1
47,27,0,2,3,3,2,13921,23,10,12,4,2,2,3,0,1,7,36,3,4,1,2,47,1,0
48,54,1,2,4,1,2,16054,82,29,13,2,4,3,1,19,1,2,49,14,4,4,1,39,3,0
49,33,1,1,3,3,5,5475,59,7,4,5,4,5,3,82,1,3,42,7,1,1,1,46,1,0
50,36,0,0,1,2,2,9049,16,14,11,8,2,5,3,79,1,6,36,6,2,1,1,4,1,0
51,55,1,2,0,3,5,12256,36,17,7,5,2,4,4,73,0,6,32,19,3,2,3,44,1,0
52,59,0,2,1,2,1,8997,83,25,9,2,4,4,1,65,1,4,48,16,1,2,1,39,1,1
53,23,0,0,3,3,2,10424,63,14,13,1,3,5,2,64,1,8,42,19,2,1,4,41,4,0
54,21,1,0,1,1,5,9786,35,25,2,4,1,4,2,7,0,2,49,16,4,3,1,34,4,1
55,25,0,2,1,1,5,16413,88,10,12,7,3,1,2,8,1,3,57,12,4,2,4,44,1,1
56,23,1,0,3,0,3,14084,69,5,7,7,2,1,4,38,1,7,47,11,1,2,2,3,3,0
57,48,1,2,3,2,5,7465,18,27,6,0,1,1,4,63,0,4,36,11,1,4,2,46,3,0
58,37,0,1,0,2,5,7946,72,18,3,2,1,5,2,56,0,8,34,1,3,4,2,28,2,0
59,45,1,0,3,3,3,13514,84,29,2,4,4,5,4,81,1,9,38,17,1,2,3,12,3,1
