employee_id,age,gender,marital_status,department,job_role,job_level,monthly_income,hourly_rate,years_at_company,years_in_current_role,years_since_last_promotion,work_life_balance,job_satisfaction,performance_rating,training_hours_last_year,overtime,project_count,average_hours_worked_per_week,absenteeism,work_environment_satisfaction,relationship_with_manager,job_involvement,distance_from_home,number_of_companies_worked,attrition,sentiment_score,sentiment_label,feedback_text
1,58,0,1,2,3,1,15488,28,15,4,2,1,3,4,14,0,6,54,17,4,4,4,20,3,0,3.0,Positive,I am happy with my job and work-life balance.
2,48,0,1,4,1,5,13079,28,6,9,1,2,1,1,6,1,2,45,1,4,1,2,25,2,0,2.0,Neutral,"My job is okay, not too good or bad."
3,34,1,1,3,1,1,13744,24,24,14,8,3,2,1,77,1,6,34,2,3,4,4,45,3,0,3.0,Positive,I am happy with my job and work-life balance.
4,27,0,0,3,3,1,6809,26,10,8,2,3,5,4,49,0,9,48,18,2,3,1,35,3,0,3.25,Positive,I am happy with my job and work-life balance.
5,40,1,0,3,2,1,10206,52,29,10,1,2,5,1,64,0,3,33,0,4,1,3,44,3,0,3.0,Positive,I am happy with my job and work-life balance.
6,58,1,0,0,1,3,16746,48,15,9,3,4,2,3,66,0,9,35,9,2,2,3,24,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
7,38,1,0,1,0,1,18995,55,29,1,1,4,5,1,43,0,2,55,13,1,1,3,40,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
8,42,0,0,3,3,3,19035,24,4,9,0,3,2,3,30,0,5,46,12,4,2,4,13,1,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
9,30,1,1,2,0,5,14671,31,18,3,5,4,1,1,42,1,2,36,8,3,4,2,48,3,0,3.0,Positive,I am happy with my job and work-life balance.
10,30,1,1,3,0,3,16210,31,18,11,9,3,1,2,76,0,7,53,5,3,3,4,39,2,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
11,43,0,1,0,2,5,8197,81,25,12,7,3,1,4,47,1,9,52,5,4,1,2,4,3,1,2.25,Negative,I am dissatisfied with my job and work-life balance.
12,55,0,1,2,0,5,18553,76,17,10,9,2,2,2,81,0,7,36,18,2,2,3,12,1,0,2.0,Neutral,"My job is okay, not too good or bad."
13,59,0,0,0,2,3,10452,15,12,9,9,4,2,1,80,0,5,38,9,1,4,1,17,1,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
14,43,0,0,2,1,2,11718,26,7,1,1,2,4,1,80,1,4,42,2,1,3,4,1,3,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
